"region","population","sex","age","education","income","statusquo","vote"
"N",87500,"F",44,"PS",35000,-0.71653,"N"
"N",87500,"M",40,"S",15000,-1.03937,"N"
"N",87500,"F",33,"S",2500,-1.14317,"N"
"N",87500,"F",21,"S",35000,0.54901,"Y"
"N",87500,"F",28,"P",15000,1.19006,"U"
"N",87500,"F",37,"S",7500,-0.6617,"N"
"N",87500,"F",58,"P",7500,1.4527,"Y"
"N",87500,"M",37,"S",75000,1.40361,"Y"
"N",87500,"M",18,"P",35000,-0.12713,"Y"
"N",45000,"F",33,"S",35000,0.9475,"Y"
"N",45000,"F",45,"P",15000,0.83473,"U"
"N",45000,"F",34,"S",15000,1.43653,"Y"
"N",45000,"M",25,"PS",35000,0.32764,"Y"
"N",45000,"M",70,"P",75000,0.01309,NA
"N",45000,"M",46,"P",35000,1.56214,"U"
"N",45000,"F",63,"P",7500,-0.78362,"U"
"N",45000,"F",53,"P",15000,0.9948,"Y"
"N",45000,"M",32,"S",35000,-0.16227,"A"
"N",45000,"F",31,"PS",35000,0.98196,"Y"
"N",45000,"M",23,"P",15000,0.37411,"Y"
"N",45000,"F",25,"P",15000,1.33395,"Y"
"N",45000,"F",39,"PS",15000,-0.59827,"N"
"N",45000,"F",25,"P",15000,0.43403,"Y"
"N",45000,"M",48,"P",7500,1.62138,"Y"
"N",45000,"M",65,"S",2500,1.39445,"A"
"N",45000,"F",25,"P",15000,1.5877,"Y"
"N",45000,"M",18,"S",15000,1.4156,"Y"
"N",45000,"F",49,"P",NA,1.20211,"Y"
"N",45000,"F",66,"P",2500,-1.29617,"N"
"N",3750,"M",60,"P",75000,-0.38693,"N"
"N",3750,"M",37,"PS",35000,-0.58756,"N"
"N",3750,"F",61,"S",15000,1.44401,"U"
"N",3750,"F",34,"S",35000,0.02178,"N"
"N",3750,"M",28,"S",15000,-0.66899,"N"
"N",3750,"M",59,"P",35000,1.19563,"Y"
"N",3750,"M",21,"P",15000,-0.04558,"N"
"N",3750,"F",27,"S",2500,0.65137,"Y"
"N",3750,"F",53,NA,15000,0.57867,"Y"
"N",3750,"M",24,"S",15000,-0.95939,"N"
"N",3750,"M",59,"P",7500,1.41416,"Y"
"N",3750,"F",48,"P",7500,1.21125,"Y"
"N",3750,"F",26,"P",2500,1.50986,"Y"
"N",3750,"M",64,"P",7500,0.98716,"Y"
"N",3750,"M",20,"P",15000,1.05745,"Y"
"N",3750,"M",25,"S",15000,0.34737,"Y"
"N",3750,"F",49,"P",7500,0.15444,"Y"
"N",3750,"M",70,"P",35000,-1.10356,"N"
"N",3750,"F",22,"S",15000,1.05653,"Y"
"N",3750,"M",18,"P",15000,0.0224,"Y"
"N",125000,"F",58,"PS",35000,-0.82454,"U"
"N",125000,"M",31,"S",35000,-0.91124,"Y"
"N",125000,"F",48,"PS",35000,-0.82983,"Y"
"N",125000,"M",64,"P",15000,1.33246,"U"
"N",125000,"F",23,"S",15000,1.44853,"Y"
"N",125000,"F",59,"P",7500,0.1502,"U"
"N",125000,"M",28,"PS",7500,-0.76181,NA
"N",125000,"F",37,"S",15000,-0.64763,"U"
"N",125000,"F",28,"S",35000,-1.07837,"N"
"N",125000,"F",51,"S",7500,-0.78943,"U"
"N",125000,"F",27,"S",7500,0.29045,"Y"
"N",125000,"M",38,"S",15000,-0.89647,"N"
"N",125000,"M",34,"PS",35000,-1.29617,"N"
"N",125000,"F",46,"P",2500,-1.29617,"N"
"N",125000,"M",25,"S",7500,-0.92377,"N"
"N",125000,"M",29,"S",75000,-0.6018,"Y"
"N",125000,"F",26,"P",15000,1.3646,"A"
"N",125000,"F",34,"P",7500,0.57019,"Y"
"N",125000,"M",66,"P",7500,-0.18511,"Y"
"N",125000,"F",44,"P",35000,1.51576,"Y"
"N",125000,"M",38,"S",7500,0.07104,"A"
"N",125000,"M",39,"S",7500,0.75719,"Y"
"N",125000,"F",22,"S",15000,-1.07861,"N"
"N",125000,"F",47,"P",15000,1.43653,"Y"
"N",125000,"M",24,"S",35000,0.00883,"Y"
"N",125000,"M",27,"S",35000,1.34829,"Y"
"N",125000,"F",21,"S",75000,-1.15231,"N"
"N",125000,"M",36,"PS",75000,1.01364,"Y"
"N",125000,"F",62,"P",15000,0.23772,"Y"
"N",125000,"M",24,"PS",NA,-0.72038,"N"
"N",125000,"M",48,"P",15000,-1.14049,NA
"N",125000,"F",70,"P",15000,1.25145,"Y"
"N",125000,"F",49,"P",35000,0.61995,"U"
"N",125000,"M",33,"S",35000,0.12409,"A"
"N",125000,"F",35,"P",15000,-1.19054,"N"
"N",125000,"F",29,"P",15000,1.23505,"Y"
"N",125000,"F",38,"P",15000,1.24225,"Y"
"N",125000,"M",21,"S",35000,-0.56293,"N"
"N",125000,"F",59,"PS",35000,-1.18011,"N"
"N",125000,"M",59,"P",15000,1.37738,"Y"
"N",15000,"M",63,"P",7500,0.57069,"A"
"N",15000,"F",27,"P",75000,-1.1401,"A"
"N",15000,"M",24,"PS",35000,-0.89647,"N"
"N",15000,"F",37,"P",15000,-0.33039,"U"
"N",15000,"M",30,"S",35000,-0.95133,"A"
"N",15000,"M",53,"P",15000,-1.03452,"U"
"N",15000,"F",31,"S",15000,0.29023,"Y"
"N",15000,"M",27,"P",15000,-0.20566,"N"
"N",15000,"F",29,"P",35000,0.96777,"Y"
"N",15000,"F",33,"P",15000,0.82724,"Y"
"N",15000,"F",27,"P",15000,1.07644,"Y"
"N",15000,"M",66,"P",15000,-0.53327,"U"
"N",15000,"M",27,"P",7500,-1.29617,"U"
"N",15000,"F",50,"P",35000,-0.82904,"U"
"N",15000,"M",64,"P",7500,-1.19662,"N"
"N",15000,"F",59,"P",7500,-0.0725,"N"
"N",15000,"F",32,"S",15000,-0.87318,"Y"
"N",15000,"M",26,"S",75000,1.55477,"Y"
"N",15000,"M",20,"S",15000,-0.5265,"A"
"N",15000,"M",39,"P",15000,1.3766,"Y"
"N",87500,"F",29,"PS",15000,-1.23032,"N"
"N",87500,"F",47,"P",35000,1.22543,"Y"
"N",87500,"M",68,"P",15000,1.40952,"Y"
"N",87500,"M",19,"P",7500,0.90496,"U"
"N",87500,"F",35,"P",7500,-1.23032,"Y"
"N",87500,"F",29,"P",7500,0.40561,"Y"
"N",87500,"M",58,"P",15000,-1.29617,"N"
"N",87500,"M",70,"P",15000,-0.13177,"Y"
"N",87500,"F",36,"P",15000,-0.46162,"N"
"N",87500,"M",30,"S",35000,-1.00254,"N"
"N",87500,"M",31,"P",15000,-0.93686,"Y"
"N",87500,"M",31,"P",7500,-0.89725,"N"
"N",87500,"F",30,"P",7500,-1.11878,"U"
"N",87500,"M",37,"S",15000,-1.29617,"N"
"N",87500,"F",48,"P",7500,-1.23032,"U"
"N",87500,"M",20,"S",NA,-0.18727,"N"
"N",87500,"F",52,"P",15000,0.21063,"N"
"N",87500,"M",70,"P",7500,0.07094,"A"
"N",87500,"F",50,"P",15000,0.51411,"Y"
"N",87500,"F",29,"P",15000,0.09532,"A"
"N",25000,"M",24,"S",75000,-1.26552,NA
"N",25000,"F",37,"P",15000,1.17633,"U"
"N",25000,"M",68,"P",15000,1.37208,"Y"
"N",25000,"F",29,"P",35000,1.01672,"Y"
"N",25000,"F",35,"P",2500,0.05559,"Y"
"N",25000,"M",24,"S",7500,0.77841,"Y"
"N",25000,"F",60,"S",35000,1.46136,"Y"
"N",25000,"M",21,"S",35000,-1.00054,"N"
"N",25000,"M",53,"PS",35000,-1.29617,"N"
"N",25000,"F",35,"PS",35000,-0.81863,"U"
"N",25000,"F",60,"P",7500,-0.69788,"A"
"N",25000,"F",49,"P",15000,-1.2727,NA
"N",25000,"F",26,"S",7500,-1.03006,"N"
"N",25000,"M",28,"S",15000,0.48311,"A"
"N",25000,"M",43,"S",35000,-1.29617,"N"
"N",25000,"M",35,"PS",200000,-0.95913,"A"
"N",25000,"F",23,"P",15000,1.21184,"Y"
"N",25000,"M",26,"S",15000,-1.1868,"N"
"N",25000,"F",58,"P",35000,0.53257,"N"
"N",25000,"F",70,"P",15000,1.33444,"Y"
"C",25000,"F",44,"P",7500,-0.96154,"U"
"C",25000,"M",32,"S",15000,-0.87595,"N"
"C",25000,"F",32,"S",15000,0.73621,"Y"
"C",25000,"F",60,"S",15000,-0.78119,"N"
"C",25000,"M",45,"P",15000,1.08003,"U"
"C",25000,"F",45,"P",15000,0.32158,"U"
"C",25000,"M",21,"P",2500,1.03727,"Y"
"C",25000,"M",32,"S",35000,-1.25795,"N"
"C",25000,"M",44,"PS",35000,-1.29617,"N"
"C",25000,"M",56,"S",75000,1.51576,"Y"
"C",25000,"F",67,"P",15000,-0.52966,"Y"
"C",25000,"F",27,"S",35000,1.19271,"Y"
"C",25000,"F",29,"S",7500,-1.29617,"N"
"C",25000,"M",51,"P",35000,-1.29617,"N"
"C",25000,"M",26,"S",35000,-0.61861,"N"
"C",25000,"F",56,"P",7500,-1.1209,"A"
"C",25000,"F",36,"P",15000,-0.36391,"U"
"C",25000,"M",58,"P",15000,-1.26325,"N"
"C",25000,"M",35,"P",35000,0.08007,"U"
"C",25000,"M",34,"P",35000,-1.29617,"N"
"C",45000,"F",56,"P",7500,-1.25795,"N"
"C",45000,"F",24,"P",7500,-1.29617,"N"
"C",45000,"M",20,"S",35000,-1.29617,"N"
"C",45000,"M",21,"S",35000,-1.19504,"N"
"C",45000,"M",58,"S",35000,-1.14049,"N"
"C",45000,"F",33,"S",75000,-0.30372,"N"
"C",45000,"M",35,"S",75000,-1.21834,"N"
"C",45000,"F",32,"P",15000,1.5877,"Y"
"C",45000,"F",40,"PS",75000,-1.29617,"N"
"C",45000,"M",36,"PS",200000,-0.21637,"N"
"C",45000,"F",18,"S",35000,-0.31489,"U"
"C",45000,"M",57,"PS",35000,1.43772,"Y"
"C",45000,"M",44,"S",35000,-1.03566,"N"
"C",45000,"F",51,"P",15000,1.15628,"Y"
"C",45000,"M",26,"S",35000,-0.64455,"N"
"C",45000,"M",34,"S",75000,0.66781,"Y"
"C",45000,"F",47,"S",75000,-0.897,"N"
"C",45000,"F",42,"S",200000,0.99498,NA
"C",45000,"F",18,"S",75000,-0.92939,"N"
"C",45000,"M",51,"PS",75000,-1.08055,"N"
"C",62500,"F",26,"S",15000,0.66877,"Y"
"C",62500,"M",29,"PS",75000,0.77374,"Y"
"C",62500,"F",27,"P",15000,1.25914,"Y"
"C",62500,"F",57,"S",2500,1.5877,"Y"
"C",62500,"M",67,"P",7500,1.59802,"Y"
"C",62500,"F",30,"S",35000,0.93454,"Y"
"C",62500,"M",21,"S",15000,-1.06991,"N"
"C",62500,"M",68,"P",15000,-1.29617,"N"
"C",62500,"F",55,"P",7500,-1.10678,NA
"C",62500,"F",38,"S",15000,-1.00007,"N"
"C",62500,"M",21,"S",75000,-0.6626,"A"
"C",62500,"M",50,"S",75000,-1.14103,"N"
"C",62500,"F",19,"S",15000,-1.14361,"N"
"C",62500,"F",57,"S",15000,-1.29617,"N"
"C",62500,"F",51,"S",15000,-1.15092,"N"
"C",62500,"M",69,"P",15000,-1.29617,"N"
"C",62500,"M",22,"PS",75000,-1.07977,"N"
"C",62500,"F",32,"S",7500,-1.29617,"N"
"C",62500,"F",68,"P",35000,-1.29617,"N"
"C",62500,"M",22,"PS",35000,-1.29617,"N"
"C",15000,"M",48,"P",15000,-0.75604,"N"
"C",15000,"M",31,"P",7500,0.36202,"Y"
"C",15000,"F",25,"S",15000,-0.86459,"N"
"C",15000,"F",52,"P",7500,-0.72812,"U"
"C",15000,"M",39,"P",35000,1.47024,"Y"
"C",15000,"M",68,NA,7500,-1.1415,"U"
"C",15000,"F",22,"P",15000,1.54808,"Y"
"C",15000,"M",19,"S",35000,-0.98933,"N"
"C",15000,"F",47,"P",7500,0.15506,"U"
"C",15000,"M",18,"P",35000,-0.99498,"N"
"C",15000,"F",33,"S",35000,0.45262,"U"
"C",15000,"M",49,"P",15000,0.18113,"U"
"C",15000,"F",40,"S",7500,-0.75505,"A"
"C",15000,"M",28,"P",15000,-0.36182,"U"
"C",15000,"F",37,"S",15000,0.42459,"Y"
"C",15000,"F",38,"S",35000,0.59831,"U"
"C",15000,"F",27,"P",15000,-1.12193,"U"
"C",15000,"M",26,"P",35000,1.19153,"U"
"C",15000,"M",21,"P",35000,-0.72868,"N"
"C",15000,"M",54,"P",7500,-1.09392,"N"
"C",15000,"M",27,"S",35000,0.6118,"U"
"C",15000,"M",46,"P",35000,0.00078,NA
"C",15000,"M",32,"S",35000,-1.18933,"N"
"C",15000,"F",22,"S",7500,-0.89654,"A"
"C",15000,"F",40,"S",35000,-0.29904,"A"
"C",15000,"M",70,"PS",15000,1.29276,"Y"
"C",15000,"M",42,"S",35000,1.10717,"Y"
"C",15000,"M",20,"PS",125000,0.4198,"N"
"C",15000,"F",23,"PS",125000,0.30914,"U"
"C",15000,"F",64,"P",7500,1.25272,"Y"
"C",15000,"M",21,"PS",35000,1.44401,"Y"
"C",15000,"M",70,"P",7500,-0.9845,"U"
"C",15000,"M",57,"P",2500,-0.64767,"N"
"C",15000,"F",33,"S",7500,0.11608,"U"
"C",15000,"F",57,"P",2500,1.44738,"Y"
"C",15000,"M",38,"P",7500,-0.59124,"U"
"C",15000,"M",30,"P",2500,1.13733,"U"
"C",15000,"F",56,"P",7500,-1.29617,"N"
"C",15000,"F",33,"P",15000,-0.27875,"U"
"C",15000,"F",64,"P",2500,-1.09626,"U"
"C",250000,"F",35,"S",200000,-1.11826,"N"
"C",250000,"F",40,"S",75000,1.05576,"U"
"C",250000,"M",66,"P",75000,1.46885,"Y"
"C",250000,"M",22,"S",35000,1.06974,"A"
"C",250000,"F",43,"S",75000,-1.10254,NA
"C",250000,"M",23,"S",35000,-1.25795,"N"
"C",250000,"F",28,"S",35000,-1.29617,"N"
"C",250000,"F",62,"P",15000,-1.29617,"N"
"C",250000,"M",28,"P",2500,-1.29617,"N"
"C",250000,"M",39,"P",15000,0.75644,"Y"
"C",250000,"F",42,"S",35000,1.22853,"Y"
"C",250000,"F",23,"S",7500,-1.29617,"N"
"C",250000,"M",19,"S",35000,-1.1113,"N"
"C",250000,"F",19,"S",15000,-0.18302,"U"
"C",250000,"M",59,"S",15000,-1.29617,"N"
"C",250000,"F",33,"S",35000,-0.21633,"N"
"C",250000,"F",48,"S",7500,0.29811,"U"
"C",250000,"M",44,"PS",35000,-1.18151,"N"
"C",250000,"F",70,"S",35000,-1.03066,"U"
"C",250000,"M",25,"S",35000,0.76551,"A"
"C",250000,"F",57,"S",15000,0.26703,"Y"
"C",250000,"F",23,"S",15000,-1.21132,"A"
"C",250000,"M",47,"P",15000,-1.29617,"A"
"C",250000,"M",23,"P",7500,0.11608,"A"
"C",250000,"F",29,"P",7500,0.11608,"U"
"C",250000,"M",30,"P",7500,-0.96845,"N"
"C",250000,"F",38,"S",7500,0.29811,"U"
"C",250000,"F",22,"P",2500,-0.93017,"N"
"C",250000,"F",41,"S",2500,-1.27556,"U"
"C",250000,"M",58,"P",35000,-0.91779,"A"
"C",250000,"F",61,NA,75000,1.29824,"Y"
"C",250000,"F",29,"S",15000,0.31346,"U"
"C",250000,"F",41,"PS",NA,-0.63279,NA
"C",250000,"M",28,"P",7500,-1.29617,"N"
"C",250000,"M",44,"S",7500,1.37208,"Y"
"C",250000,"M",30,"S",2500,-1.29617,"N"
"C",250000,"F",34,"PS",15000,-1.29617,"N"
"C",250000,"F",43,"P",35000,-0.56792,"Y"
"C",250000,"M",70,"S",35000,-0.94371,"N"
"C",250000,"M",50,"S",75000,0.53491,"Y"
"C",250000,"F",28,"S",75000,-1.27876,"N"
"C",250000,"M",65,"P",2500,1.47262,"Y"
"C",250000,"M",30,"P",7500,1.1925,"U"
"C",250000,"F",22,"S",7500,-1.33198,"N"
"C",250000,"F",69,"S",75000,0.73645,"U"
"C",250000,"M",33,"PS",75000,-1.29617,"N"
"C",250000,"F",36,"S",7500,0.2074,"A"
"C",250000,"M",67,"S",35000,-1.29617,"N"
"C",250000,"F",70,"P",35000,-1.29617,"N"
"C",250000,"F",30,"S",15000,-1.29617,"N"
"C",250000,"M",58,"S",15000,1.09519,"Y"
"C",250000,"F",25,"S",35000,-0.65599,"N"
"C",250000,"F",42,"S",15000,-0.85881,"N"
"C",250000,"M",65,"S",35000,-1.29617,"N"
"C",250000,"M",24,"PS",15000,-1.03486,"N"
"C",250000,"F",19,"P",7500,0.4159,"Y"
"C",250000,"M",23,"S",35000,-0.75072,"N"
"C",250000,"M",39,"P",35000,-1.29617,"N"
"C",250000,"F",37,"P",15000,-1.00723,"Y"
"C",250000,"F",22,"P",15000,0.03479,"Y"
"C",250000,"M",25,"S",7500,0.04881,"U"
"C",250000,"F",31,"P",35000,0.54258,"U"
"C",250000,"F",42,"S",35000,1.23905,"U"
"C",250000,"F",27,"S",35000,0.58567,"U"
"C",250000,"M",70,"P",35000,-0.69434,"N"
"C",250000,"F",22,"P",35000,-1.1824,"N"
"C",250000,"F",47,"P",35000,0.127,"Y"
"C",250000,"M",22,"S",35000,-1.07569,"N"
"C",250000,"M",58,"PS",125000,-0.64344,"N"
"C",250000,"M",20,"S",75000,-0.98357,"U"
"C",250000,"M",31,"S",35000,-1.15421,"N"
"C",250000,"F",65,"P",35000,0.04406,"U"
"C",250000,"F",23,"S",35000,1.30163,"Y"
"C",250000,"M",39,"PS",75000,0.86302,"Y"
"C",250000,"M",27,"S",35000,0.87325,"Y"
"C",250000,"M",63,"S",35000,-0.84928,"N"
"C",250000,"F",57,"P",35000,-1.0169,"U"
"C",250000,"F",48,"S",15000,0.27927,"A"
"C",250000,"F",19,"S",75000,0.14576,"A"
"C",250000,"M",27,"PS",200000,-0.22146,"Y"
"C",250000,"M",62,"P",15000,-1.29617,"N"
"C",250000,"M",19,"S",2500,-1.22301,"N"
"C",250000,"M",18,"S",2500,-1.30351,"Y"
"C",250000,"F",34,"S",7500,-1.25795,"N"
"C",250000,"F",39,"P",75000,1.50846,"Y"
"C",250000,"F",26,"PS",35000,-0.97459,"N"
"C",250000,"M",28,"PS",35000,-0.27603,"A"
"C",250000,"M",59,"PS",200000,0.84207,"Y"
"C",250000,"F",53,"PS",15000,1.38659,"Y"
"C",250000,"F",26,"PS",125000,-0.8109,"N"
"C",250000,"F",56,"P",7500,-1.29617,"N"
"C",250000,"F",27,"S",35000,1.34452,"Y"
"C",250000,"M",65,"P",2500,-1.17732,"N"
"C",250000,"F",63,"P",15000,-1.29617,"N"
"C",250000,"M",29,"P",7500,-1.29617,"N"
"C",250000,"F",37,"PS",35000,-1.29617,"N"
