"feel_biden","feel_trump","feel_fauci","feel_feminists","feel_unions","feel_bigbusiness","feel_gay","feel_muslim","feel_christian","feel_jewish","feel_police","feel_scientists","feel_nra","feel_fbi","feel_rural","feel_cdc"
15,15,85,60,0,70,100,15,85,85,0,60,50,0,0,60
2,0,2,60,80,30,80,60,80,80,20,20,50,40,80,40
73,0,90,70,55,20,70,60,15,65,40,85,0,55,45,68
60,30,50,40,40,45,100,50,80,50,60,60,50,65,60,45
15,85,60,50,0,60,0,40,100,70,85,50,70,70,70,60
99,0,100,99,90,50,99,100,100,100,75,100,30,90,50,90
50,70,75,50,80,40,50,50,50,50,75,75,50,60,70,60
2,95,5,10,20,50,50,50,80,50,85,50,90,70,90,10
15,15,85,50,50,50,50,40,70,50,60,50,50,50,60,50
60,30,40,70,100,50,80,70,60,100,90,100,88,86,84,100
40,60,70,60,50,30,50,50,80,50,70,80,60,60,80,60
0,85,0,15,0,0,60,0,40,85,15,50,70,0,85,0
75,5,100,100,100,10,100,65,65,100,50,100,5,90,75,90
15,0,50,0,70,15,50,70,60,70,70,70,60,85,70,70
30,85,50,60,60,85,100,100,85,100,100,80,85,80,85,50
50,60,70,50,30,40,50,50,50,50,60,70,40,50,60,60
70,0,85,50,50,15,50,50,50,50,30,60,40,40,50,85
50,50,50,0,50,50,30,70,100,100,100,100,100,100,100,70
15,60,0,40,30,50,50,50,90,90,70,50,60,40,80,30
70,0,70,70,60,40,50,50,50,50,40,50,50,50,50,50
50,40,85,60,50,70,60,60,80,60,70,70,50,50,50,60
0,100,0,50,50,50,100,50,50,50,100,50,50,50,50,50
0,100,30,0,40,85,70,50,100,85,85,60,70,30,100,15
0,100,10,15,10,55,0,30,100,100,100,80,95,55,100,25
50,40,40,20,60,30,30,50,30,50,15,100,50,60,50,50
85,0,85,60,70,40,50,50,60,70,60,85,40,60,70,85
40,40,50,60,85,30,50,50,50,50,40,70,40,50,50,60
70,30,85,85,70,60,85,70,100,85,85,100,85,85,100,85
15,15,15,50,50,30,50,50,70,70,60,50,60,30,60,40
80,0,85,95,45,15,85,85,40,90,40,85,10,70,85,70
0,75,25,5,10,30,50,30,70,70,90,60,90,10,70,35
85,0,100,70,50,30,85,50,100,85,60,100,70,70,60,85
100,0,100,85,60,15,100,70,60,85,60,100,60,85,85,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
40,30,88,98,86,9,78,54,55,89,54,89,44,57,57,87
30,90,30,50,20,0,0,50,100,100,90,70,50,0,100,0
100,0,100,85,50,15,100,100,15,100,15,100,0,50,0,100
40,30,60,60,60,30,50,50,50,50,60,85,50,40,70,60
60,50,50,70,50,50,85,50,50,50,100,100,85,70,50,50
50,85,50,50,50,15,50,30,100,85,70,85,100,50,50,50
0,70,0,50,50,50,50,50,60,70,70,50,100,85,70,40
40,85,50,60,60,40,40,50,100,100,100,85,100,40,85,60
50,70,70,70,70,70,15,40,100,100,0,100,70,0,40,50
70,60,50,50,70,60,60,50,70,60,60,70,50,85,50,80
0,100,85,30,50,15,60,50,100,100,85,85,85,60,100,85
0,0,100,100,70,15,85,85,30,85,30,100,0,60,30,100
85,0,55,75,75,55,75,65,40,65,45,60,10,50,75,60
15,30,100,40,60,40,0,60,100,100,85,40,100,70,100,85
40,30,100,60,50,0,85,50,50,50,0,100,70,85,85,100
40,85,40,40,60,60,50,85,100,85,85,100,85,70,85,85
50,100,70,100,50,60,100,50,100,50,100,100,100,85,100,100
50,30,50,50,50,50,50,50,50,50,50,50,50,50,50,50
85,0,85,50,60,50,50,60,60,100,30,70,15,50,50,70
60,0,50,85,100,50,50,50,50,50,60,85,0,50,20,50
60,50,85,50,0,40,40,30,100,50,85,70,70,85,85,85
30,60,50,30,30,30,60,50,85,50,30,70,70,30,85,50
40,85,50,40,70,50,50,40,40,50,50,40,100,50,60,40
0,50,70,50,50,50,50,50,85,50,60,50,60,50,60,70
50,0,60,50,0,30,50,50,50,50,60,100,20,50,50,70
30,70,30,70,100,85,70,40,85,100,85,50,85,30,85,15
70,0,85,50,50,50,50,50,85,50,60,85,85,50,70,85
85,0,70,60,70,50,100,70,100,70,60,100,40,60,60,70
85,0,100,70,50,15,70,50,30,50,70,100,0,50,30,100
50,50,15,50,0,100,100,85,100,100,70,70,100,100,50,75
70,0,100,60,60,60,70,70,70,85,85,100,0,85,30,85
75,0,90,85,50,10,95,85,58,85,12,76,0,70,22,92
15,15,100,40,40,30,70,50,100,60,70,75,60,60,70,85
30,40,60,50,50,30,50,50,50,50,50,50,50,50,50,50
0,75,45,50,50,40,50,50,50,50,75,50,70,50,50,30
0,60,50,0,50,60,30,50,70,50,100,60,100,50,100,0
16,30,100,0,0,40,100,70,100,100,70,86,50,85,85,50
65,75,65,40,90,40,0,50,98,90,65,90,75,25,70,40
50,0,0,100,100,0,100,100,0,0,0,100,0,100,100,100
0,100,30,50,50,40,50,50,100,100,100,100,100,40,100,0
5,95,40,50,50,80,40,40,95,80,95,50,80,50,90,50
0,100,70,0,0,30,0,0,85,100,100,100,100,40,85,50
50,50,50,50,50,50,0,50,100,50,50,50,50,50,50,0
85,0,100,100,65,70,100,100,50,100,45,100,0,80,30,100
85,50,85,85,70,60,50,50,70,85,60,85,40,70,100,85
0,100,70,50,100,85,50,15,85,50,50,70,100,90,90,80
95,0,90,80,82,10,100,85,100,100,50,100,0,95,100,100
15,85,30,50,50,70,15,20,100,20,80,60,80,95,75,50
50,0,50,30,70,30,100,30,0,100,50,90,30,70,100,70
50,50,60,40,70,30,70,50,50,50,50,85,60,40,70,30
0,100,0,40,15,50,50,0,50,50,100,60,100,50,100,70
60,40,50,100,50,0,100,100,0,100,100,100,100,100,100,50
15,15,30,50,70,25,50,55,50,50,20,50,35,60,60,45
0,85,85,50,40,60,50,30,100,85,100,60,100,70,100,85
65,15,85,95,10,80,100,40,70,100,70,100,15,80,50,70
100,0,85,75,40,70,75,75,75,75,30,85,0,75,75,65
70,0,100,30,15,100,50,50,85,85,85,100,0,100,100,70
60,40,70,50,50,20,50,50,50,50,0,70,50,35,50,50
100,0,100,50,85,50,50,50,40,50,50,100,50,50,100,60
100,0,100,100,50,0,100,100,60,100,40,100,0,50,50,85
40,70,40,30,60,70,50,40,100,100,85,60,70,60,100,60
0,100,50,50,85,50,50,50,100,50,100,50,100,85,50,70
85,0,100,85,85,50,50,70,100,70,70,50,15,100,70,85
85,0,85,70,50,0,60,60,40,50,70,85,15,60,40,100
85,0,90,35,40,55,40,50,45,50,60,85,60,70,60,60
15,100,60,50,0,70,85,85,85,85,100,85,85,40,85,70
15,70,50,50,30,15,15,50,85,70,85,85,70,30,85,60
70,0,70,85,100,30,100,50,15,50,85,100,40,85,35,85
15,70,60,30,70,70,60,40,100,100,100,85,100,85,85,85
0,100,0,0,100,25,15,0,100,0,85,50,100,15,70,50
0,100,0,50,85,40,50,50,100,0,100,100,100,100,100,100
60,60,60,80,70,70,60,60,60,60,60,70,60,60,60,60
70,0,15,100,100,0,60,50,40,50,100,100,100,100,50,100
0,98,0,0,0,40,90,60,70,100,100,30,90,30,90,30
100,30,100,100,85,100,60,85,100,100,100,100,100,100,100,100
60,85,70,85,70,70,100,60,85,60,100,100,100,100,85,100
85,0,100,85,40,50,60,60,60,60,60,85,15,60,85,70
75,30,100,50,70,70,60,50,50,50,85,90,80,75,100,100
50,15,60,50,50,60,60,100,50,15,60,60,50,50,60,60
35,99,50,25,50,35,50,50,75,50,75,65,80,0,50,50
60,40,60,85,15,50,30,30,100,50,85,85,50,50,70,70
60,15,50,50,50,50,50,50,50,50,80,70,50,50,50,85
40,60,30,20,30,30,50,50,70,60,50,50,70,70,70,10
40,60,60,100,100,40,100,15,60,0,85,70,100,100,100,100
40,70,40,60,50,70,70,50,60,60,60,85,60,50,70,60
50,75,50,50,15,50,75,25,50,25,75,50,75,25,25,25
60,40,70,30,50,15,40,15,70,60,85,60,50,50,60,40
85,15,100,100,100,15,85,85,85,100,60,85,15,70,70,100
40,0,0,50,50,50,100,50,50,50,50,50,50,50,50,50
65,0,85,100,70,50,50,100,100,100,85,100,70,100,85,100
70,30,80,60,40,85,100,60,100,100,90,100,0,80,40,100
0,70,50,50,50,50,50,50,50,50,100,85,50,50,50,50
70,0,90,85,50,75,100,100,40,100,30,100,0,65,35,60
70,1,85,50,50,40,75,100,50,50,60,100,10,75,70,90
15,100,50,0,60,10,0,10,100,75,100,50,100,75,100,0
15,100,85,50,85,70,50,50,70,50,100,100,100,85,100,85
0,70,0,30,40,30,60,50,60,50,40,30,40,15,70,0
0,70,85,50,60,70,0,0,70,50,85,85,100,85,85,85
70,0,50,70,100,50,30,50,100,100,0,70,100,40,70,100
50,50,50,50,50,50,50,50,50,50,50,50,100,100,50,50
15,0,40,60,85,0,85,85,85,85,70,85,70,15,85,60
60,30,50,60,60,70,85,60,50,50,100,60,70,60,60,85
60,0,60,85,85,40,40,85,85,70,85,85,40,60,85,85
30,70,40,30,40,50,40,40,100,60,85,50,50,70,70,60
0,100,0,15,50,40,50,15,30,15,60,70,50,30,85,0
100,0,40,50,70,70,0,70,100,85,80,70,50,85,40,85
60,0,85,40,70,30,70,40,60,100,40,100,60,30,40,40
100,0,85,40,85,50,50,50,85,50,60,85,0,85,50,85
55,1,50,50,50,50,50,50,70,60,50,60,50,60,50,60
85,0,75,50,60,40,50,50,60,60,60,60,15,60,60,60
85,0,100,60,100,0,50,50,50,50,85,60,50,85,50,50
89,10,87,45,77,63,0,9,77,57,94,76,60,88,77,78
30,50,60,40,85,30,85,60,50,85,60,70,70,50,85,60
70,50,100,70,60,70,50,50,85,50,60,85,40,50,70,85
40,100,100,40,85,50,50,50,100,100,90,50,85,85,85,85
90,0,70,100,50,15,100,100,40,100,25,100,10,90,20,100
85,0,85,40,100,40,50,50,50,50,60,100,15,70,70,100
15,30,0,70,70,15,50,50,0,50,15,100,70,50,85,15
40,100,50,60,40,70,50,50,70,60,85,70,60,70,85,85
100,0,100,85,70,40,85,50,85,85,60,100,0,50,50,85
60,70,50,65,70,50,50,100,75,75,65,90,50,100,70,75
0,100,70,50,85,50,15,15,70,50,100,50,100,50,60,15
15,85,0,0,15,70,50,50,50,50,70,50,60,60,85,0
15,60,30,30,50,40,85,85,85,85,85,85,85,85,85,50
60,40,100,50,60,40,50,50,60,50,100,85,50,85,85,70
85,40,70,50,40,40,50,50,85,50,70,85,50,70,50,70
15,85,60,15,0,40,50,50,85,85,85,85,85,15,85,60
50,60,100,70,100,0,50,40,60,50,30,100,30,30,40,60
85,0,95,85,75,75,100,100,25,100,75,100,0,50,50,50
50,60,50,50,50,70,50,50,70,50,60,70,50,70,50,50
90,0,100,75,75,40,50,90,85,90,5,100,20,100,30,100
80,0,100,85,50,50,50,50,50,100,75,90,0,50,50,90
100,15,85,100,70,60,100,85,100,85,50,100,0,100,70,100
60,0,70,60,60,50,50,50,50,50,85,50,0,50,85,60
30,80,80,65,15,50,50,50,50,50,75,85,45,50,50,50
70,0,50,70,85,30,100,85,85,70,30,85,0,40,50,100
0,0,0,60,100,50,60,50,100,50,100,70,100,100,100,25
70,0,100,100,85,40,100,70,70,70,60,100,15,60,50,85
0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,80
40,40,50,50,50,45,50,50,50,50,65,100,50,50,50,50
60,15,50,0,50,50,40,50,50,50,70,70,50,50,50,30
85,0,60,60,30,40,85,60,30,85,60,70,0,50,15,50
85,0,85,50,30,40,50,50,50,50,15,100,35,70,50,85
85,0,70,60,85,60,85,50,40,60,40,85,15,70,40,70
0,75,30,0,0,90,100,100,100,100,70,70,100,100,100,30
0,95,0,60,50,90,85,85,85,85,95,60,85,40,85,40
60,30,100,60,50,70,50,60,60,70,60,100,5,50,5,80
0,100,50,85,0,100,100,100,100,100,100,50,50,0,100,100
0,85,0,50,50,50,60,50,50,50,60,50,50,40,50,15
40,85,60,60,50,60,0,40,100,100,100,70,85,60,70,85
85,15,85,60,85,0,50,85,85,60,30,70,0,60,0,70
85,0,100,60,70,60,70,60,70,70,70,100,40,100,60,100
61,15,65,72,80,55,51,70,71,70,40,100,70,60,85,90
50,30,50,15,30,15,85,40,40,50,60,60,60,60,85,60
100,0,100,85,70,30,85,70,60,100,60,85,40,60,50,70
30,60,50,100,50,25,90,50,60,50,90,100,100,40,100,30
70,0,70,50,50,40,60,50,70,50,40,70,50,50,50,70
0,30,50,50,60,0,50,50,60,50,60,50,50,50,50,50
100,0,70,50,85,70,50,50,85,50,60,85,40,50,50,70
85,30,100,70,50,40,70,70,70,80,85,85,30,85,85,90
95,0,65,90,80,85,50,65,85,65,65,80,65,85,70,95
60,0,80,75,75,15,75,50,15,50,15,80,10,30,50,50
85,15,85,50,30,40,30,50,30,50,50,85,30,50,70,70
15,85,49,20,54,60,10,15,65,65,88,55,68,48,90,17
0,85,50,50,85,85,50,70,50,100,100,100,100,85,100,100
40,0,85,50,50,70,40,85,100,85,60,100,85,50,100,15
0,100,70,100,15,60,100,85,100,100,100,85,85,70,100,85
60,60,85,50,50,35,100,100,100,100,100,50,50,50,50,70
0,60,70,40,100,50,0,50,100,50,85,70,100,60,100,60
70,30,50,100,85,85,100,85,50,100,40,85,70,40,70,50
100,0,100,50,85,30,50,50,100,85,70,100,0,85,30,85
60,15,85,30,50,60,100,100,100,100,70,100,100,50,100,50
70,60,60,70,60,70,70,60,100,60,100,100,70,85,85,85
15,85,50,50,40,50,50,50,100,100,85,70,85,40,100,70
50,50,50,50,50,30,50,50,50,50,70,50,50,50,50,50
0,10,5,3,8,8,0,0,10,10,3,10,7,8,5,8
15,70,40,40,40,40,40,85,85,85,85,60,85,40,50,40
30,0,50,50,60,0,85,0,50,50,70,0,50,50,50,85
30,60,50,60,100,15,90,50,40,50,50,70,70,50,50,70
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0,15,0,60,50,30,100,85,85,85,85,50,40,50,50,40
0,85,15,50,50,50,50,50,100,50,100,50,85,50,50,50
50,50,50,50,60,50,50,50,50,50,60,85,50,50,50,55
100,0,100,86,70,50,100,50,70,50,86,100,50,70,50,60
100,0,100,50,50,85,50,85,85,100,50,100,75,50,50,100
50,30,100,30,60,30,50,50,40,50,40,70,30,40,100,85
0,30,0,0,0,15,0,0,15,15,40,15,0,0,50,0
40,50,40,30,50,30,60,50,60,70,70,60,70,40,70,50
85,15,85,50,60,50,50,50,70,60,60,60,50,85,50,70
0,100,50,50,50,40,50,40,50,50,85,60,100,30,85,50
2,100,0,30,15,5,50,50,99,50,98,50,100,25,100,40
85,15,85,70,30,70,75,65,75,70,85,85,30,80,50,65
100,0,100,70,80,50,100,100,0,100,90,90,0,90,100,100
0,85,40,50,50,30,50,30,50,85,60,70,30,15,50,50
50,50,50,50,50,50,60,50,60,50,85,70,70,60,70,50
40,65,60,40,25,70,50,50,50,50,70,60,50,55,80,55
40,0,0,85,60,30,70,70,100,30,15,70,15,30,50,85
70,0,60,50,60,30,60,60,40,50,40,70,0,50,50,60
25,75,80,50,50,60,0,50,90,50,80,50,75,70,70,65
10,0,80,0,10,20,80,50,25,75,100,100,0,100,80,75
50,30,40,0,40,85,0,0,100,70,95,85,0,85,85,50
40,40,85,50,50,60,50,50,85,50,85,70,50,85,50,85
50,60,50,70,70,0,100,50,50,50,80,80,100,80,100,60
40,60,100,15,60,100,50,50,50,50,70,100,60,60,85,70
15,85,50,50,50,60,70,85,85,85,100,70,70,60,85,60
60,40,70,100,85,60,100,100,85,100,100,100,100,85,100,85
60,50,85,70,70,50,50,85,100,70,75,100,100,100,60,70
90,0,90,60,80,35,90,50,55,50,45,100,30,90,50,55
30,70,50,15,40,70,15,30,100,50,60,70,50,70,75,60
50,60,70,0,50,40,70,50,40,40,30,85,80,50,90,60
50,85,70,70,70,15,50,60,70,70,50,60,50,50,50,70
40,0,70,100,70,15,100,50,50,50,0,70,0,40,50,50
60,50,85,40,40,30,50,40,30,30,40,40,40,40,40,60
70,0,100,80,50,50,80,80,80,80,50,90,30,90,80,90
85,15,85,100,85,85,100,100,100,100,100,100,50,100,100,100
60,70,85,70,70,70,70,50,85,50,85,100,85,60,85,70
85,0,100,50,50,30,50,50,70,60,50,100,15,85,85,85
70,0,100,50,85,0,85,100,85,100,100,100,15,100,100,60
60,0,85,60,60,60,50,60,60,60,60,60,60,60,60,60
50,50,50,50,50,50,60,50,50,60,85,85,50,50,50,50
100,0,50,85,70,0,100,15,85,50,0,70,100,0,70,40
70,15,70,85,100,30,100,100,85,100,85,100,100,100,85,100
0,70,50,50,50,50,50,50,50,50,85,85,60,85,85,60
70,0,100,50,40,50,70,60,40,100,60,85,0,70,60,70
100,30,50,40,40,40,50,40,85,50,60,100,70,50,50,100
40,40,30,15,60,60,50,50,50,50,30,60,30,0,60,30
50,70,50,50,50,100,50,50,85,50,70,50,50,50,50,50
77,0,89,60,88,44,99,50,67,50,33,88,23,57,50,89
0,100,40,0,50,50,50,50,50,50,100,100,100,50,100,50
85,15,85,60,70,70,85,50,50,50,85,85,50,70,70,85
15,85,50,85,40,85,85,30,50,100,100,85,50,60,85,85
70,40,50,70,85,70,50,50,50,50,70,85,60,70,85,50
0,70,0,0,50,50,50,50,100,50,85,50,85,60,60,50
0,75,50,25,75,59,25,0,75,50,75,75,75,75,75,25
70,0,30,70,85,70,85,85,80,85,90,85,40,50,50,85
15,100,90,50,75,90,50,50,50,70,90,90,90,90,70,95
70,40,75,60,40,40,50,60,40,75,70,80,55,50,70,65
80,0,95,95,70,40,100,95,95,95,80,100,0,75,75,85
100,0,100,85,100,40,100,100,60,100,60,100,0,85,50,85
45,45,80,65,50,45,50,50,80,80,80,80,70,55,85,70
0,100,50,40,70,60,40,20,100,100,70,70,100,30,100,100
85,0,50,0,60,40,50,50,85,50,0,100,100,0,100,50
40,40,50,30,50,50,0,30,85,70,70,85,50,85,85,60
0,60,70,60,25,40,100,100,50,100,90,85,95,80,100,85
0,100,50,15,40,70,40,50,85,50,100,40,70,60,70,70
85,0,100,100,85,60,100,100,85,100,60,85,70,85,70,85
15,60,60,15,60,40,15,50,40,50,15,70,85,30,70,50
85,0,100,100,70,70,100,85,70,100,70,100,0,85,70,100
100,0,100,85,60,60,85,60,100,85,85,100,15,85,70,100
60,40,100,50,50,40,70,50,85,50,70,100,85,50,85,70
85,0,100,30,100,25,25,25,50,50,85,90,20,85,50,90
15,70,50,50,40,30,50,70,85,100,100,100,50,15,100,60
0,100,60,50,100,70,100,0,100,0,100,100,100,100,85,100
100,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50
100,0,100,85,70,60,100,85,85,50,85,85,0,85,100,100
85,0,85,50,85,70,50,50,100,85,60,85,40,70,50,85
30,60,50,50,50,60,50,100,50,100,85,100,100,100,50,50
70,0,90,60,85,30,85,60,70,70,70,85,40,40,85,60
0,70,15,70,50,70,50,50,100,50,70,100,50,50,100,0
100,0,100,85,60,85,100,85,100,85,100,100,0,100,85,100
0,100,15,0,30,40,50,50,50,50,50,50,60,0,60,15
0,90,50,50,50,50,0,50,100,100,90,50,50,100,100,50
90,5,90,90,80,20,90,90,40,90,80,90,10,70,50,90
50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50
100,30,85,100,100,50,100,100,100,100,100,100,50,100,50,100
90,0,100,100,70,45,100,80,40,80,30,100,10,85,50,85
50,50,50,50,50,30,50,50,20,50,20,50,50,30,60,30
85,0,85,10,0,50,20,0,30,20,50,85,0,50,50,70
100,0,85,85,100,0,70,60,70,70,70,100,60,70,100,70
80,0,95,90,100,0,100,100,50,100,0,100,0,50,90,100
85,50,70,85,85,60,85,60,100,70,85,85,85,85,85,100
0,100,0,0,50,50,0,50,100,50,100,50,100,100,50,0
85,0,85,70,60,60,70,70,85,85,85,85,40,85,60,85
15,100,10,15,30,50,60,40,70,70,85,15,100,0,85,20
85,0,100,100,85,30,100,100,30,100,30,85,0,50,50,100
60,100,85,50,70,85,60,60,85,75,85,85,70,85,60,70
0,85,50,50,50,40,50,50,50,50,70,70,50,50,50,50
100,0,50,100,100,100,100,50,85,50,100,100,100,100,100,100
85,0,100,85,70,40,50,70,60,70,60,100,0,100,50,85
40,0,85,85,70,0,85,85,85,100,40,50,0,15,70,60
40,70,100,50,50,70,40,50,50,85,50,85,100,70,50,50
0,100,40,30,40,70,40,30,70,85,60,50,70,60,85,70
0,60,0,30,50,50,50,50,50,50,50,60,60,50,50,60
50,0,50,70,40,50,100,100,50,15,0,70,0,0,50,15
40,0,50,50,100,0,50,50,50,100,70,100,60,40,50,50
15,60,60,0,70,70,50,50,100,100,85,85,100,70,50,85
100,0,60,85,85,50,85,85,85,85,50,70,85,70,60,100
80,0,90,75,60,60,100,80,70,100,50,100,20,70,80,80
48,1,70,90,90,20,100,100,50,100,30,89,35,50,60,70
50,15,85,70,50,15,70,50,70,50,50,70,30,50,50,50
60,40,90,50,50,20,50,50,50,50,90,60,50,50,50,90
50,60,100,50,60,60,60,50,60,50,70,85,70,70,50,100
60,0,85,85,70,15,100,100,30,100,40,100,0,70,30,100
70,0,70,70,50,15,100,70,50,50,50,100,50,50,30,70
15,85,50,85,50,90,0,0,100,0,50,100,100,100,100,100
30,85,70,0,0,100,50,50,100,50,100,85,100,60,50,80
70,0,100,100,100,0,100,100,0,100,50,100,60,0,100,100
70,0,50,100,60,40,100,100,30,60,0,100,30,0,0,50
50,0,50,0,0,100,0,0,0,0,0,100,100,0,100,100
100,15,100,100,100,85,100,100,100,100,100,100,100,100,100,100
0,100,25,50,50,25,50,0,100,50,50,50,100,0,100,50
100,0,100,85,50,50,100,70,60,30,70,100,70,85,100,100
60,60,85,50,60,60,40,50,60,50,40,100,50,60,60,100
40,60,70,40,50,50,50,40,70,70,70,60,50,70,60,60
50,70,50,50,60,60,60,50,70,40,70,70,80,70,50,60
0,0,51,0,30,4,50,50,7,50,5,90,6,3,50,32
78,0,60,40,0,55,50,50,75,50,40,60,50,60,50,60
70,15,100,50,60,40,50,60,100,50,50,85,70,50,50,85
0,85,70,50,50,50,50,50,50,50,50,85,85,85,85,85
30,70,50,30,70,40,50,50,60,50,70,50,70,70,70,60
25,65,50,50,80,50,50,15,50,75,75,80,100,85,80,40
50,60,40,70,70,100,100,100,100,100,100,100,70,70,100,60
60,85,65,100,35,90,75,75,90,80,84,100,74,66,93,70
60,40,50,40,50,50,85,50,50,50,60,85,50,100,50,50
0,100,50,40,50,0,50,50,100,50,85,85,60,50,100,50
50,100,85,50,50,100,50,50,100,100,100,100,100,100,50,50
40,0,60,50,75,70,100,50,85,90,40,40,30,40,60,60
85,15,100,85,70,70,85,85,85,85,85,100,30,85,85,85
70,15,80,70,60,40,50,60,70,60,70,85,40,60,85,85
60,50,100,100,85,85,0,70,100,70,50,60,70,85,70,85
70,0,100,100,100,0,100,100,40,95,3,100,70,60,50,80
50,100,85,50,85,50,60,70,70,70,70,85,50,70,50,70
1,86,39,0,80,14,100,97,99,98,100,98,32,64,100,67
0,100,25,40,60,75,50,30,90,100,100,70,100,75,80,0
30,3,75,100,50,30,100,100,50,100,20,100,15,85,100,75
100,0,30,50,85,100,100,70,100,70,85,70,100,100,100,100
0,90,15,15,15,85,30,0,100,70,85,60,100,60,85,30
50,50,100,50,50,50,50,50,50,50,60,50,50,50,50,50
70,50,50,50,85,100,0,50,50,0,0,0,0,0,40,40
100,0,40,60,50,40,40,60,50,30,15,85,40,15,40,80
85,30,70,100,60,60,100,100,100,100,70,100,60,85,100,85
40,15,30,70,50,30,100,100,40,100,40,100,60,30,50,50
