"votebiden","feel_biden","feel_trump","feel_fauci","feel_feminists","feel_unions","feel_bigbusiness","feel_gay","feel_muslim","feel_christian","feel_jewish","feel_police","feel_scientists","feel_nra","feel_fbi","feel_rural","feel_cdc"
0,70,70,85,50,100,30,0,0,60,100,100,85,85,85,100,85
0,30,35,100,75,100,45,70,50,100,50,85,60,40,95,85,90
1,100,0,50,40,0,50,86,40,50,50,40,86,85,70,85,85
1,85,0,100,80,50,40,100,100,60,100,60,100,5,70,50,80
1,85,0,100,100,70,40,70,70,85,100,70,85,40,50,85,100
0,30,40,70,40,70,30,50,30,50,50,60,70,70,40,85,60
0,15,80,35,25,40,50,50,50,50,50,75,75,50,30,75,60
0,15,85,15,70,30,60,60,60,85,85,100,50,85,50,100,50
0,15,85,30,0,30,50,15,0,100,100,85,15,70,30,70,40
1,60,40,85,40,40,40,60,70,70,60,40,60,30,30,40,70
0,15,85,85,100,85,75,100,85,100,100,95,100,100,85,100,50
1,80,0,100,85,85,50,70,60,60,85,50,100,0,60,50,60
1,100,0,100,100,70,15,100,100,40,100,70,100,0,85,15,100
1,60,0,60,100,50,0,100,100,0,100,0,70,0,0,40,50
1,85,0,85,50,60,50,50,50,50,50,30,70,0,70,50,70
1,85,0,100,100,100,40,100,100,100,100,60,100,30,100,50,100
1,70,15,85,70,85,40,70,70,70,70,70,85,70,50,70,50
0,60,40,40,40,60,30,70,70,60,85,70,70,40,60,70,50
0,30,85,70,40,60,60,50,70,85,85,85,70,85,70,85,70
1,100,0,85,100,70,40,85,100,100,100,70,100,40,100,50,100
0,0,85,0,0,50,75,50,50,100,50,85,40,100,40,100,60
1,85,0,100,100,100,30,100,50,70,70,100,100,40,100,50,100
1,100,0,70,100,100,60,100,85,100,100,85,100,60,85,100,85
1,90,0,95,60,60,30,50,50,40,50,60,90,20,40,50,60
1,70,15,70,85,60,40,50,70,70,50,40,85,0,15,60,60
1,85,15,85,50,60,60,50,50,70,85,55,60,30,60,70,70
1,75,0,75,30,95,40,60,60,90,75,60,85,30,60,80,70
0,25,90,75,50,45,85,55,55,90,75,90,85,75,70,90,80
1,100,0,100,85,100,15,100,100,40,100,60,100,0,40,100,100
0,30,85,30,30,40,100,50,30,85,50,85,50,80,60,100,50
0,30,40,0,85,50,0,100,70,70,70,40,85,85,82,100,70
0,0,100,70,30,60,80,50,50,100,85,85,70,85,60,85,70
1,100,0,100,100,50,100,100,85,85,100,85,100,0,85,40,100
0,0,100,0,50,40,15,50,50,100,70,100,50,50,50,100,50
0,15,15,85,70,85,60,0,15,100,100,85,85,85,85,85,60
1,85,0,85,85,70,50,100,70,50,70,70,85,50,70,85,70
0,0,100,50,15,15,15,50,30,100,85,85,50,85,15,100,50
1,85,0,100,60,40,70,85,50,70,70,70,85,15,70,60,70
0,0,70,0,40,60,60,40,30,100,65,100,60,85,80,100,40
1,100,0,85,0,100,100,0,0,50,0,60,100,0,100,50,100
1,70,0,50,85,100,70,50,70,100,70,30,70,50,50,50,70
1,85,0,100,70,30,30,70,70,40,70,85,100,30,85,85,85
1,85,0,85,80,35,50,70,65,50,70,40,90,0,55,55,55
0,30,85,50,50,30,30,50,30,85,50,85,60,85,60,85,50
1,85,0,100,100,90,0,100,100,40,100,15,100,0,30,15,75
0,15,100,50,50,40,70,100,50,100,50,100,85,100,15,100,40
0,0,100,70,50,60,70,0,50,60,50,50,60,50,70,70,100
1,60,0,100,50,100,30,50,50,0,50,30,100,0,70,30,60
1,85,15,85,70,70,70,70,70,70,85,85,85,40,70,70,70
0,40,15,100,40,40,30,50,85,85,50,85,100,50,50,85,50
1,85,0,85,70,85,60,85,40,70,70,70,85,15,70,70,70
0,30,85,70,50,40,70,50,50,100,85,85,85,85,50,50,70
0,0,85,50,40,60,60,50,60,85,70,85,60,60,60,70,60
0,30,85,70,50,30,70,50,50,70,60,70,60,70,60,70,60
0,15,100,50,50,70,69,50,50,50,50,100,85,70,70,50,70
1,95,0,80,100,95,20,100,100,100,100,30,100,0,30,90,99
0,0,60,70,50,70,40,60,50,100,90,75,70,90,75,80,90
0,0,100,85,50,60,70,50,0,100,100,90,100,50,70,90,10
1,70,15,85,15,50,50,0,50,85,50,85,75,0,70,75,60
0,60,40,70,40,30,30,85,50,60,50,70,70,15,60,70,70
1,30,0,85,70,60,40,70,50,30,50,50,100,40,50,50,100
0,60,85,50,50,15,70,50,50,60,50,100,60,60,60,85,30
0,15,70,40,30,40,50,50,40,100,70,85,50,70,60,100,50
0,0,60,60,0,0,60,0,0,100,100,100,60,60,60,100,60
1,100,0,100,70,70,60,70,50,50,50,60,100,16,70,50,70
0,15,70,30,30,60,50,70,40,85,60,85,50,70,70,85,50
0,30,70,40,30,50,40,40,40,100,85,85,50,85,60,70,60
1,85,0,95,40,50,30,50,50,40,50,60,85,30,60,60,85
0,40,30,100,60,40,60,50,50,60,100,60,100,50,50,50,70
0,15,85,70,45,50,55,70,85,85,85,85,70,30,80,80,80
1,85,0,100,50,50,0,50,15,85,80,0,70,70,70,50,85
0,0,100,20,95,60,85,65,65,60,95,100,80,100,65,100,90
1,90,0,90,70,40,50,50,70,80,70,40,90,15,50,40,60
0,30,85,60,40,40,70,60,60,85,70,85,85,85,70,70,70
1,70,0,100,60,85,60,85,85,50,85,85,85,0,85,50,60
1,70,0,100,60,60,30,50,50,15,50,60,85,15,70,50,60
1,100,0,100,50,50,50,85,50,50,50,85,100,0,70,30,100
1,70,0,100,60,70,40,70,60,60,70,85,100,50,85,70,85
0,0,100,40,100,100,30,85,30,100,100,85,100,100,100,100,85
1,70,0,100,85,85,30,90,60,15,85,30,90,0,70,70,90
1,85,0,100,100,85,0,100,100,40,100,40,100,0,70,30,85
1,60,0,100,100,85,0,100,50,50,100,0,100,0,60,30,100
1,100,0,100,85,70,50,70,85,85,70,100,70,30,85,70,70
1,85,15,75,50,85,50,50,50,100,100,70,85,40,50,50,75
1,70,0,100,50,50,50,100,100,50,70,75,80,30,60,50,65
1,100,0,100,90,50,40,90,90,90,90,85,100,15,80,90,90
1,80,20,95,85,65,80,90,70,65,90,85,90,70,80,90,85
0,15,85,40,30,50,70,70,30,85,85,85,60,85,30,85,50
0,30,70,70,70,10,40,70,50,100,100,70,85,50,40,70,40
1,85,0,100,60,40,40,85,50,60,50,70,85,15,50,50,85
1,85,0,100,60,60,60,60,60,85,100,85,85,40,85,85,100
0,0,100,5,30,15,40,20,50,70,50,90,60,85,40,85,50
0,30,85,60,50,50,70,50,70,70,70,85,70,50,70,70,70
1,100,0,100,100,70,15,50,50,50,50,60,99,10,60,70,85
0,0,85,30,15,50,40,50,30,85,70,85,50,70,60,60,40
1,100,0,100,85,40,85,85,85,50,85,70,100,40,100,85,85
1,95,0,85,70,70,40,100,85,50,100,70,85,80,75,85,100
0,0,100,0,90,0,70,80,50,90,100,100,50,100,30,85,50
1,60,0,85,100,85,15,100,85,30,100,15,85,0,30,60,70
1,70,0,100,100,50,35,100,100,50,100,70,100,0,50,35,100
0,0,100,50,40,40,40,0,30,100,100,100,85,100,85,100,100
0,30,70,30,60,85,75,100,85,85,85,85,85,70,70,100,50
0,5,90,65,20,10,65,70,70,80,85,95,70,85,40,90,65
1,60,10,50,90,40,15,0,50,35,15,65,65,50,35,15,70
0,30,85,50,30,50,50,100,100,100,100,85,100,50,50,100,30
1,100,0,85,60,100,40,50,50,85,50,85,85,40,60,50,85
0,0,86,40,40,30,40,70,60,85,85,70,60,100,40,85,40
1,100,0,100,50,50,50,100,90,70,90,80,100,0,100,60,100
0,15,60,50,60,50,60,50,40,100,100,85,50,70,85,70,70
0,0,100,50,50,60,60,50,0,100,100,100,85,85,70,70,70
0,30,30,100,30,50,40,50,40,85,70,70,85,50,60,85,70
1,85,23,100,67,85,50,87,75,85,75,89,100,25,85,100,85
0,15,100,0,0,0,60,0,0,100,8,100,5,10,5,7,50
0,0,70,70,0,50,60,70,70,100,100,85,70,70,70,100,60
1,70,0,85,70,85,40,85,50,40,85,70,85,30,70,70,85
1,60,0,100,70,60,15,70,50,50,50,40,85,0,60,50,60
1,60,0,80,90,10,90,50,30,90,90,3,90,2,5,60,90
0,15,85,0,50,30,70,50,50,85,70,100,50,85,30,85,50
1,90,0,100,90,45,30,50,50,40,60,55,99,0,57,60,98
1,100,0,100,100,90,0,100,90,0,0,70,100,0,100,50,20
1,40,0,75,100,50,0,100,85,0,100,0,85,0,70,15,100
0,0,90,80,60,50,40,40,30,85,80,75,90,80,70,80,100
1,70,0,70,60,50,50,50,50,50,50,50,60,30,50,40,60
0,80,65,80,60,50,70,70,70,70,70,75,80,40,75,75,80
1,85,0,100,70,30,60,50,50,50,50,70,85,30,60,50,60
0,70,85,70,50,85,70,50,70,40,85,70,60,100,100,70,70
0,0,90,15,15,70,70,50,50,95,75,95,50,85,50,75,30
1,85,0,95,90,50,40,90,50,60,50,40,95,15,60,30,85
0,0,85,85,40,70,60,0,40,100,85,100,85,70,70,85,85
1,85,15,50,50,60,50,50,70,30,85,15,60,100,70,60,50
1,70,40,50,100,85,70,70,60,85,60,70,100,70,85,70,60
1,70,0,85,40,70,40,50,50,70,60,60,70,15,85,70,85
0,30,70,50,40,30,60,50,40,70,60,85,60,50,40,70,40
0,0,70,0,0,15,15,50,60,100,85,85,30,70,0,85,15
0,30,30,100,100,0,85,100,85,100,100,70,100,50,100,50,60
1,85,0,70,40,40,40,60,50,50,50,40,70,30,60,40,70
0,60,30,85,40,50,15,15,15,50,50,40,85,40,70,70,50
1,60,0,50,50,50,50,70,50,50,50,50,50,50,50,50,70
0,0,100,15,0,15,15,15,30,100,100,100,60,85,30,100,40
0,0,40,50,50,50,40,50,50,50,50,50,50,50,50,50,50
1,100,0,100,70,70,40,85,60,60,85,15,85,0,70,60,70
1,40,0,85,90,100,0,100,100,60,100,0,90,5,5,60,90
1,60,0,100,70,50,40,20,40,70,60,35,90,90,50,90,90
0,0,100,60,50,85,40,50,50,100,100,100,85,100,85,100,50
1,85,0,85,70,50,15,70,70,85,85,70,85,0,50,85,70
0,0,95,40,40,50,40,40,40,85,85,70,70,50,40,85,50
1,100,0,100,100,70,40,100,100,100,100,85,100,0,60,50,60
1,85,0,100,50,50,60,50,50,85,50,70,60,40,70,100,100
0,0,85,60,60,60,85,100,70,100,100,100,70,85,85,100,70
0,0,100,15,30,50,70,30,70,100,100,100,50,100,50,100,100
0,10,70,65,51,5,25,50,15,70,70,99,95,75,50,90,50
0,0,85,15,15,15,30,40,40,70,70,85,30,70,15,85,15
1,85,15,85,90,60,15,100,90,60,85,30,85,30,85,85,90
0,85,15,80,70,80,60,55,55,70,65,90,85,60,80,70,80
1,51,0,85,95,88,50,100,100,95,100,5,75,10,40,65,80
0,0,90,0,40,0,15,30,50,100,85,100,100,100,40,100,30
0,40,70,85,100,50,50,50,50,100,100,85,50,50,100,85,100
0,0,100,0,30,0,50,0,50,30,5,85,40,50,30,50,0
0,0,40,30,50,40,50,40,0,100,50,100,70,100,0,60,0
1,100,30,100,50,50,50,50,85,70,70,70,85,40,85,50,60
0,5,95,60,40,0,50,50,10,85,75,95,95,95,50,95,50
0,25,25,55,70,20,40,50,15,60,100,90,80,75,45,80,70
1,40,0,100,50,100,15,50,50,0,50,60,85,40,85,85,85
1,90,5,100,95,100,40,100,100,100,100,100,100,30,90,90,95
1,100,0,100,50,100,0,50,50,0,100,0,100,0,0,100,100
1,85,0,85,85,85,70,85,85,70,85,60,85,15,85,70,70
0,10,90,20,85,40,75,25,25,95,95,95,75,90,70,95,75
1,70,0,70,70,60,0,70,70,60,70,60,85,30,70,50,40
1,95,0,100,95,95,35,100,100,100,100,25,100,0,35,45,100
1,70,0,100,85,70,40,85,70,60,70,40,100,15,70,40,70
1,100,0,100,50,0,0,59,50,70,50,50,85,0,85,70,85
1,100,0,100,50,100,0,50,70,70,85,85,100,0,85,60,60
1,85,0,85,85,50,50,85,60,85,85,85,85,50,70,85,85
0,0,100,50,50,40,60,50,15,85,85,85,85,100,70,85,85
0,30,85,50,60,60,40,100,70,85,100,100,70,70,60,100,60
0,40,40,50,50,40,50,50,50,50,50,50,50,50,50,50,50
1,90,15,90,85,65,60,85,85,45,85,70,85,15,65,70,80
1,85,0,100,85,85,20,85,85,40,85,30,100,15,70,25,60
1,70,0,100,100,50,60,100,100,85,100,60,100,0,100,30,100
0,0,100,60,15,40,85,0,0,100,100,100,50,100,40,85,85
0,0,85,15,15,15,60,70,40,70,70,85,85,70,0,85,30
1,100,0,100,100,100,0,100,100,100,100,100,0,0,85,50,85
0,10,85,50,50,40,40,50,40,50,50,60,50,50,50,70,60
1,85,15,100,70,85,60,85,70,85,85,100,85,70,70,85,85
1,75,0,70,80,80,0,100,100,0,100,20,100,50,50,40,80
1,85,0,100,90,90,40,85,75,30,75,70,100,0,70,15,90
0,15,90,25,50,20,35,100,50,75,50,70,90,80,50,100,70
0,0,100,0,30,15,70,50,50,100,50,85,60,85,0,85,30
1,100,0,100,100,70,30,100,85,50,85,85,100,15,60,70,100
0,0,85,15,15,15,50,50,50,85,85,70,50,100,40,100,60
1,85,0,50,60,85,50,100,50,100,100,85,85,50,50,85,85
1,100,0,100,50,50,50,50,50,100,50,85,100,50,50,50,100
0,15,95,35,15,50,40,40,50,95,50,95,80,85,70,90,70
0,30,80,50,5,25,50,50,50,70,60,80,80,90,70,70,60
0,5,100,50,30,75,75,35,55,55,75,80,85,35,85,80,50
1,85,0,70,70,60,40,60,50,70,50,50,70,0,50,70,85
0,15,85,30,40,60,50,70,60,70,70,75,70,65,40,85,40
1,90,0,90,50,80,25,50,50,50,50,45,95,0,55,50,85
0,0,85,0,85,50,50,85,85,85,85,100,85,50,60,60,15
0,0,100,0,0,0,50,50,0,100,100,100,50,100,100,100,15
1,85,0,90,60,40,55,45,50,50,50,80,70,45,75,50,75
0,0,85,50,30,50,40,100,100,70,100,85,100,70,70,70,40
0,30,60,85,70,50,60,100,100,100,100,100,85,85,85,85,85
0,0,100,0,0,0,50,50,50,100,50,100,0,100,50,50,50
0,0,100,15,50,50,70,50,0,100,100,100,50,100,40,100,60
1,70,0,90,100,80,50,100,100,100,100,90,100,0,70,100,70
1,85,0,100,100,100,30,100,100,0,100,30,100,0,30,40,100
1,85,0,85,50,50,50,50,40,50,50,70,50,15,50,50,50
1,100,0,100,95,90,75,75,75,100,85,85,98,0,90,60,70
1,85,0,100,85,60,30,85,50,50,50,85,85,15,85,60,85
0,50,50,70,100,85,70,100,100,100,100,100,100,100,100,100,100
0,0,100,0,0,15,70,30,50,100,100,100,100,85,15,85,70
1,85,0,100,100,70,60,100,100,100,100,100,100,40,70,100,85
1,85,0,85,60,50,30,40,50,40,40,15,60,15,60,60,85
0,15,85,70,40,40,50,100,85,100,100,100,100,85,85,100,70
0,40,40,60,70,40,50,100,70,70,100,100,85,85,60,100,85
0,15,100,100,70,85,50,70,50,50,50,85,50,50,85,85,85
1,90,0,95,60,80,10,60,60,50,60,15,95,0,30,40,70
0,0,100,0,0,0,0,50,0,70,50,60,40,70,0,50,0
1,85,0,60,50,30,30,50,85,70,100,100,70,85,50,85,70
0,0,100,0,15,80,10,50,10,80,50,80,70,85,30,90,15
0,40,70,70,60,40,40,70,50,85,70,100,70,70,40,85,70
0,0,100,10,50,1,50,50,50,100,100,100,55,90,50,100,45
1,85,10,90,70,50,45,100,70,50,100,40,100,40,60,75,70
0,50,60,30,50,50,50,50,0,100,50,70,60,75,70,100,60
1,100,0,100,90,90,50,100,90,40,100,0,100,0,85,30,95
1,70,0,100,50,50,35,80,70,90,75,55,85,15,70,70,70
0,0,100,95,75,70,70,99,40,100,86,100,70,100,60,100,99
0,40,85,40,50,50,50,50,50,100,85,70,50,85,60,85,60
0,60,85,60,40,70,50,30,30,60,50,70,60,85,70,70,40
0,50,70,50,30,50,50,50,50,70,50,85,50,50,50,50,50
1,87,35,50,77,71,80,50,70,70,50,75,85,70,76,70,60
1,100,0,100,100,100,100,85,70,100,100,100,100,0,100,100,100
0,0,100,0,15,30,85,75,85,85,100,90,85,70,0,100,60
1,100,0,100,85,60,30,85,50,30,85,40,85,0,50,30,40
1,85,0,85,50,70,50,50,50,50,50,40,100,15,70,50,85
1,100,0,100,100,70,60,100,50,40,50,50,100,0,30,15,100
1,100,0,85,85,85,40,85,85,85,100,85,70,0,85,40,70
0,0,100,40,60,50,70,60,70,85,85,85,70,85,30,100,40
1,100,0,100,50,50,50,50,50,100,50,50,50,50,50,50,50
1,60,0,85,85,85,40,85,50,40,50,40,85,0,60,50,70
0,15,70,50,30,15,50,50,50,60,50,50,50,50,40,50,60
0,50,100,50,30,70,50,50,30,100,50,100,85,50,70,70,85
1,100,0,100,100,85,60,100,70,30,85,85,100,0,85,40,70
0,0,100,15,10,10,85,50,0,100,90,100,65,100,65,90,50
1,85,0,90,90,90,0,90,85,80,80,40,95,0,60,50,60
0,30,85,50,15,30,50,50,15,85,60,85,50,85,60,85,70
0,10,70,50,1,0,0,70,50,50,70,90,90,45,45,60,45
0,15,95,15,0,50,85,50,50,85,100,85,50,85,30,100,60
0,0,100,40,0,50,40,50,50,90,90,90,85,100,90,90,75
0,15,70,100,60,60,40,100,85,100,100,100,60,60,70,100,70
1,85,0,85,70,50,0,85,70,70,70,40,85,50,50,50,70
1,85,0,100,50,85,30,60,60,60,85,60,85,0,40,50,100
1,75,40,75,55,60,50,90,60,80,50,60,75,55,60,50,70
0,30,50,40,50,60,50,50,50,70,50,85,50,60,50,70,50
1,30,0,85,90,90,10,90,50,50,50,30,100,10,20,40,85
0,0,100,0,15,60,0,30,15,100,100,100,30,100,40,80,0
0,50,60,85,30,50,50,15,50,100,70,100,85,60,85,50,70
1,60,0,60,50,60,30,85,50,100,50,30,60,60,60,50,60
0,30,100,100,50,60,50,70,60,60,85,100,100,70,60,100,85
0,0,100,80,0,30,85,10,0,100,100,85,50,100,60,100,20
1,85,0,100,50,70,15,85,50,100,70,50,85,0,50,50,40
0,30,85,50,40,40,60,40,15,85,60,85,60,70,40,85,60
1,100,0,100,70,50,15,100,50,70,50,100,100,50,70,50,70
0,0,100,80,50,60,50,50,50,100,50,100,100,60,60,100,70
1,50,0,70,60,50,15,50,50,30,50,60,70,60,60,50,85
1,100,0,70,100,50,30,100,100,85,100,60,100,15,85,100,85
1,85,15,100,100,85,30,70,60,50,70,60,85,40,85,100,85
1,70,0,100,60,70,40,70,70,85,85,70,85,30,85,85,85
1,85,0,100,85,70,70,85,85,100,85,85,85,0,85,70,85
1,85,0,100,50,30,50,50,50,50,50,70,85,45,50,50,40
1,85,0,100,70,70,40,50,70,50,70,70,85,0,70,85,85
1,70,0,100,60,80,60,50,50,85,70,80,70,40,85,70,70
1,30,15,50,70,70,30,100,50,60,50,40,100,50,60,30,50
0,15,100,15,30,15,50,85,85,85,85,85,60,85,60,100,70
0,15,100,50,15,15,85,85,30,60,70,100,60,85,85,100,100
1,100,0,100,90,50,70,100,90,90,90,90,100,5,99,25,95
1,60,0,60,50,40,40,50,50,85,50,70,85,60,40,100,85
1,100,0,100,85,85,40,0,85,100,100,70,100,15,70,100,85
0,15,70,50,15,50,85,30,15,85,70,85,70,85,85,100,60
0,30,85,15,70,40,60,70,40,85,85,85,50,85,40,85,40
0,0,100,30,40,85,70,50,40,100,60,100,85,100,50,100,85
1,50,30,70,50,40,50,50,50,50,50,70,70,90,75,50,80
1,100,0,100,50,50,50,40,50,90,50,60,100,0,85,50,80
0,0,85,30,40,50,60,70,70,85,70,100,50,70,70,85,50
0,30,70,85,70,40,50,85,85,85,85,85,85,60,50,70,60
0,0,100,80,100,50,75,100,50,100,100,100,80,50,50,50,50
1,85,0,100,50,60,60,85,85,70,85,60,100,50,70,85,100
1,85,15,90,80,75,60,80,70,65,65,85,90,40,80,60,85
0,15,100,30,30,50,50,50,50,100,85,85,70,70,40,100,85
0,15,50,30,40,50,30,70,50,60,50,50,40,50,40,85,30
1,50,40,60,50,50,50,50,50,70,60,85,70,70,85,100,85
1,85,15,85,70,50,50,70,50,100,85,85,100,40,50,70,85
0,30,70,85,50,50,70,50,100,100,100,85,100,85,60,100,85
1,70,60,85,70,85,85,85,70,100,100,100,100,70,85,70,100
1,90,0,100,60,70,60,100,90,80,90,80,90,10,90,40,90
1,100,0,100,80,100,60,100,99,95,100,100,100,40,100,100,100
1,70,0,85,70,60,30,70,60,60,70,60,70,15,60,70,70
0,0,60,15,50,15,50,50,15,50,50,60,50,50,50,50,30
0,50,85,70,50,50,85,0,70,85,85,85,85,85,60,85,70
1,100,0,100,100,40,40,100,85,100,100,40,100,15,50,100,85
0,85,50,90,50,50,50,50,50,95,50,65,50,50,70,50,50
1,70,0,85,70,85,30,85,85,40,85,15,85,0,50,40,100
1,85,15,70,60,60,40,60,60,60,60,70,85,40,70,85,70
1,100,0,50,70,100,50,50,100,100,100,30,100,0,85,100,100
0,0,85,40,30,50,60,50,50,80,50,90,50,85,70,80,50
0,0,100,10,100,0,60,50,0,100,100,100,50,85,40,85,0
1,100,0,100,85,50,60,70,60,100,85,100,100,0,100,70,100
0,30,75,40,22,62,75,75,90,90,95,95,51,90,33,95,66
1,85,0,85,85,70,60,85,70,85,85,85,85,40,50,85,85
1,85,15,100,50,50,50,50,50,50,50,50,85,86,50,50,70
1,70,0,75,70,50,20,85,50,50,50,25,60,20,30,50,62
0,0,90,15,70,50,15,100,100,100,100,45,100,0,50,100,70
0,15,85,70,40,30,40,65,40,95,60,60,60,70,65,80,60
1,100,0,100,60,85,85,40,85,85,100,60,100,60,85,85,100
1,40,30,70,85,60,70,90,60,70,100,90,85,70,60,85,85
1,100,15,100,100,85,70,60,50,100,100,85,70,100,100,100,85
1,100,0,100,60,85,40,100,85,30,100,70,100,0,70,60,85
0,0,100,50,15,60,30,0,30,100,100,100,70,100,15,100,15
1,85,0,70,70,60,70,70,50,50,50,100,100,0,100,100,60
0,98,98,30,65,50,49,80,68,85,76,90,88,96,98,80,77
0,0,95,0,40,70,50,50,50,85,50,95,50,85,40,50,35
1,100,0,100,100,85,70,85,85,70,100,85,100,0,85,85,100
1,70,0,85,60,50,30,60,40,70,60,70,85,30,70,70,70
1,95,0,95,79,79,65,65,95,75,50,75,85,20,80,50,75
1,90,0,95,75,80,30,75,75,76,80,75,75,45,65,100,75
0,40,15,50,50,40,40,50,50,50,50,50,50,40,50,50,50
0,45,70,35,30,55,85,50,60,90,65,90,80,90,90,80,70
0,0,100,0,50,50,50,0,50,100,10,100,50,100,30,50,50
1,70,15,15,50,40,50,50,50,85,50,85,70,0,50,50,40
0,0,95,0,0,50,80,50,50,70,50,80,100,50,10,80,80
0,0,100,30,85,30,60,15,30,100,85,85,40,100,30,100,60
0,15,85,15,30,15,50,50,40,70,60,70,50,60,40,60,50
1,85,0,100,85,85,40,85,50,100,100,70,85,85,85,50,70
0,0,100,40,15,40,100,40,50,85,100,100,70,100,60,85,50
1,100,0,100,15,85,50,100,50,100,100,100,85,50,70,50,85
0,10,85,30,10,20,60,30,50,90,90,85,60,75,75,80,50
1,70,0,98,100,85,60,100,100,85,100,85,100,40,85,100,85
1,100,0,100,90,85,40,90,90,75,90,80,100,0,70,20,95
1,99,0,60,50,70,85,15,75,75,85,60,70,50,75,50,70
0,15,85,50,40,40,40,50,50,70,50,100,50,85,50,85,50
0,50,70,100,50,40,50,70,50,70,70,85,70,70,70,85,70
0,40,60,70,50,50,50,50,50,60,85,85,60,50,85,50,85
0,0,100,15,30,40,40,50,40,50,50,100,40,100,100,50,60
0,0,85,0,50,40,40,70,70,70,85,85,100,100,70,100,15
1,85,0,100,60,70,85,85,85,30,60,40,100,0,50,15,85
0,15,70,70,50,50,50,85,85,85,85,85,50,70,70,85,60
1,85,0,100,100,100,40,85,70,60,100,60,100,0,100,100,100
1,85,1,80,95,51,30,52,50,50,50,60,100,15,50,50,75
1,85,0,100,90,60,60,95,40,90,80,85,95,0,85,40,85
1,85,15,85,85,70,70,100,100,85,100,85,100,50,85,70,85
0,15,60,50,50,40,60,50,70,100,85,60,70,50,60,60,70
1,60,0,100,90,70,50,100,85,85,100,85,100,30,90,85,100
0,0,85,15,40,85,15,50,15,100,85,100,70,85,50,85,50
1,100,0,100,100,85,100,85,85,85,100,60,100,60,100,100,100
1,85,0,70,100,100,25,100,100,15,100,100,100,0,70,40,70
1,90,0,100,80,50,50,100,50,100,50,100,100,15,100,60,100
1,85,40,100,60,50,50,85,70,100,100,100,85,50,70,85,50
1,90,40,85,60,0,0,100,60,50,50,90,100,50,50,50,70
1,65,15,99,75,50,50,100,100,75,100,75,100,55,75,80,60
1,65,0,100,70,85,60,50,40,70,70,70,65,75,80,70,90
1,90,0,100,75,35,40,85,85,70,90,50,95,40,50,50,45
0,20,85,30,25,10,85,95,75,75,95,95,60,75,60,95,50
1,70,0,100,85,60,40,85,85,85,85,85,85,20,85,85,85
1,70,0,85,70,60,40,70,85,50,70,50,85,0,70,40,40
0,0,70,0,60,80,70,40,10,100,80,90,80,100,80,70,100
1,95,0,99,90,75,60,95,90,95,95,90,95,15,95,85,95
1,90,0,95,70,80,35,65,55,60,75,70,85,10,70,80,85
0,15,85,40,30,15,59,30,50,85,50,100,50,50,30,100,60
1,90,0,90,70,60,50,60,50,85,70,60,85,20,60,60,70
1,100,0,70,85,85,40,100,85,30,85,40,100,0,70,15,100
1,100,15,85,85,85,50,100,70,85,70,40,85,30,60,50,100
0,30,70,70,100,30,40,100,85,60,85,100,100,70,40,100,85
0,25,75,50,50,50,50,0,50,80,50,75,50,50,75,50,50
0,30,65,50,20,50,50,50,40,100,50,80,50,100,50,100,50
1,100,0,100,100,50,70,100,100,50,100,100,100,0,100,70,100
1,70,0,100,85,50,40,85,85,40,85,85,100,30,85,85,85
1,100,0,85,40,50,50,50,50,85,50,85,60,40,60,50,60
0,20,60,0,50,70,75,50,15,75,50,90,50,100,90,90,0
1,100,15,100,40,30,40,85,85,70,85,60,85,40,60,70,85
1,100,0,100,100,70,60,85,60,85,100,85,85,15,85,100,100
1,40,0,90,80,85,0,80,80,1,80,0,100,2,50,15,95
0,0,100,50,0,50,50,50,0,100,85,100,50,85,40,100,50
1,75,30,80,30,65,40,80,65,85,80,80,80,60,75,70,80
1,100,0,100,85,85,40,85,60,60,70,30,100,0,60,60,85
1,100,0,100,90,75,50,50,50,50,50,40,90,0,50,50,100
0,30,70,85,50,40,70,50,50,50,50,85,50,50,40,60,70
0,50,60,50,50,60,30,50,50,70,60,85,100,50,85,85,60
1,60,0,50,50,60,15,50,50,50,50,50,50,15,15,50,15
1,60,0,90,60,45,50,50,50,50,50,50,75,25,50,50,75
1,95,15,100,50,50,50,50,50,90,50,90,90,70,70,85,85
1,70,0,100,100,100,0,100,100,100,100,0,100,0,50,50,100
0,45,60,60,50,50,50,55,50,50,50,75,65,55,45,85,65
0,0,100,70,70,85,15,50,0,100,85,85,100,85,60,100,85
1,85,0,100,85,60,40,100,70,70,85,70,85,0,75,60,80
1,85,0,90,85,65,30,100,70,15,100,60,100,0,60,35,85
1,100,0,100,50,100,90,100,70,51,85,85,100,15,100,100,100
0,0,90,50,50,40,75,50,40,90,80,85,80,50,60,90,50
0,30,85,70,50,40,60,50,40,60,70,85,70,60,30,70,60
0,15,85,50,50,40,60,50,50,50,50,70,50,70,60,85,70
0,0,100,40,30,40,85,40,0,85,85,85,100,100,60,85,60
0,50,70,100,60,85,70,60,50,60,60,100,100,85,85,85,85
1,100,0,60,100,50,15,100,75,15,80,60,100,0,60,15,100
0,15,100,15,60,50,0,50,100,50,100,100,100,50,50,50,70
0,0,100,30,50,15,50,50,15,85,100,85,85,60,0,70,50
0,50,70,85,60,70,60,50,60,100,85,85,70,40,50,85,60
1,85,0,100,75,100,30,50,50,50,50,75,90,15,85,50,85
0,35,90,40,60,55,50,90,90,90,90,90,90,50,40,90,75
